X,Y,DEPTH (m),-1,Z
541737.844,710963.338,0.79,-1,-0.79
541737.782,710963.326,1.23,-1,-1.23
541737.721,710963.313,1.15,-1,-1.15
541737.659,710963.301,1.33,-1,-1.33
541737.598,710963.289,1.33,-1,-1.33
541737.536,710963.276,1.33,-1,-1.33
541737.475,710963.264,1.33,-1,-1.33
541737.383,710963.221,1.34,-1,-1.34
541737.291,710963.178,1.34,-1,-1.34
541737.199,710963.135,1.32,-1,-1.32
541737.106,710963.092,1.24,-1,-1.24
541737.014,710963.049,1.18,-1,-1.18
541736.922,710963.006,1.19,-1,-1.19
541736.83,710962.963,1.19,-1,-1.19
541736.738,710962.919,1.32,-1,-1.32
541736.646,710962.876,1.34,-1,-1.34
541736.554,710962.833,0.85,-1,-0.85
541736.462,710962.79,4.75,-1,-4.75
541736.369,710962.747,4.79,-1,-4.79
541736.277,710962.704,4.72,-1,-4.72
541736.185,710962.661,4.71,-1,-4.71
541736.093,710962.618,4.71,-1,-4.71
541736.001,710962.575,4.72,-1,-4.72
541735.909,710962.532,4.76,-1,-4.76
541735.817,710962.489,4.66,-1,-4.66
541735.724,710962.446,4.67,-1,-4.67
541735.632,710962.403,4.63,-1,-4.63
541735.54,710962.36,4.63,-1,-4.63
541735.448,710962.317,4.62,-1,-4.62
541735.356,710962.273,4.66,-1,-4.66
541735.264,710962.23,4.61,-1,-4.61
541735.172,710962.187,4.59,-1,-4.59
541735.08,710962.144,4.59,-1,-4.59
541734.987,710962.101,4.62,-1,-4.62
541734.895,710962.058,4.63,-1,-4.63
541734.803,710962.015,4.63,-1,-4.63
541734.711,710961.972,4.59,-1,-4.59
541734.631,710961.917,4.61,-1,-4.61
541734.551,710961.861,4.66,-1,-4.66
541734.472,710961.806,4.67,-1,-4.67
541734.392,710961.751,4.71,-1,-4.71
541734.312,710961.695,4.66,-1,-4.66
541734.232,710961.64,4.65,-1,-4.65
541734.152,710961.585,4.68,-1,-4.68
541734.073,710961.529,4.69,-1,-4.69
541733.993,710961.474,4.69,-1,-4.69
541733.913,710961.419,4.65,-1,-4.65
541733.833,710961.363,4.65,-1,-4.65
541733.753,710961.308,4.63,-1,-4.63
541733.674,710961.253,4.65,-1,-4.65
541733.594,710961.197,4.63,-1,-4.63
541733.514,710961.142,4.65,-1,-4.65
541733.434,710961.087,4.63,-1,-4.63
541733.354,710961.031,4.65,-1,-4.65
541733.275,710960.976,4.66,-1,-4.66
541733.195,710960.921,4.66,-1,-4.66
541733.115,710960.865,4.67,-1,-4.67
541733.035,710960.81,4.66,-1,-4.66
541732.955,710960.755,4.66,-1,-4.66
541732.876,710960.699,4.63,-1,-4.63
541732.796,710960.644,4.68,-1,-4.68
541732.716,710960.589,4.67,-1,-4.67
541732.636,710960.533,4.66,-1,-4.66
541732.556,710960.478,4.65,-1,-4.65
541732.477,710960.423,4.69,-1,-4.69
541732.397,710960.367,4.69,-1,-4.69
541732.317,710960.312,4.67,-1,-4.67
541732.249,710960.269,4.65,-1,-4.65
541732.182,710960.226,4.69,-1,-4.69
541732.114,710960.183,4.66,-1,-4.66
541732.047,710960.14,4.63,-1,-4.63
541731.979,710960.097,4.62,-1,-4.62
541731.912,710960.054,4.61,-1,-4.61
541731.844,710960.011,4.63,-1,-4.63
541731.776,710959.968,4.59,-1,-4.59
541731.709,710959.925,4.69,-1,-4.69
541731.641,710959.882,4.67,-1,-4.67
541731.574,710959.839,4.63,-1,-4.63
541731.506,710959.796,4.65,-1,-4.65
541731.439,710959.753,4.65,-1,-4.65
541731.371,710959.71,4.66,-1,-4.66
541731.304,710959.667,4.67,-1,-4.67
541731.236,710959.623,4.65,-1,-4.65
541731.168,710959.58,4.66,-1,-4.66
541731.101,710959.537,4.65,-1,-4.65
541731.033,710959.494,4.69,-1,-4.69
541730.966,710959.451,4.67,-1,-4.67
541730.898,710959.408,4.69,-1,-4.69
541730.831,710959.365,4.68,-1,-4.68
541730.763,710959.322,4.67,-1,-4.67
541730.695,710959.279,4.68,-1,-4.68
541730.628,710959.236,4.7,-1,-4.7
541730.56,710959.193,4.66,-1,-4.66
541730.493,710959.15,4.71,-1,-4.71
541730.425,710959.107,4.63,-1,-4.63
541730.358,710959.064,4.66,-1,-4.66
541730.29,710959.021,4.62,-1,-4.62
541730.225,710958.973,4.62,-1,-4.62
541730.159,710958.926,4.73,-1,-4.73
541730.094,710958.878,4.67,-1,-4.67
541730.029,710958.831,4.67,-1,-4.67
541729.963,710958.783,4.66,-1,-4.66
541729.898,710958.736,4.66,-1,-4.66
541729.833,710958.688,4.67,-1,-4.67
541729.767,710958.64,4.68,-1,-4.68
541729.702,710958.593,4.63,-1,-4.63
